K,Precision@K,Recall@K,HitRate@K,NDCG@K
10,0.007562491866296938,0.006723170303967539,0.06157588619823211,0.008919602264499915
50,0.005970067972730822,0.02559300638133143,0.18320202616799977,0.015308171186377827
100,0.005172114162153504,0.04403791841957369,0.2642267225931747,0.021722787399971282
